region,hemisphere,CN,MCI,AD,AD-CN,MCI-CN
S_precentral-sup-part,Right,0.4767933233500109,1.233288058882024,0.8307561673190627,0.35396284396905175,0.7564947355320132
G_cingul-Post-ventral,Right,-0.52660863,0.1772173504732845,0.9895998852841733,1.5162085148968165,0.7038259800859276
G_front_inf-Orbital,Right,-1.034049996,-0.763771037,0.12214545116869492,1.1561954476261755,0.2702789596809366
S_subparietal,Right,0.3673187033511326,1.0651167382174782,1.414723364929926,1.0474046615787933,0.6977980348663456
S_intrapariet_and_P_trans,Left,1.2532650726657806,1.770204084231158,2.095523440784407,0.8422583681186266,0.5169390115653774
G_subcallosal,Right,2.1485048975268497,3.0312629484873495,2.985524104872951,0.8370192073461014,0.8827580509604998
S_oc-temp_lat,Left,0.22198599050014792,0.9350218236883067,1.7889400178753054,1.5669540273751574,0.7130358331881588
G_front_inf-Triangul,Right,1.124054695540584,1.599491156267361,1.4994814356598716,0.37542674011928767,0.47543646072677714
S_calcarine,Right,0.1090484684380011,0.6228060529288435,1.2861588018531744,1.1771103334151733,0.5137575844908424
G_temp_sup-G_T_transv,Right,-1.116753256,-0.530857094,0.8577395427288783,1.9744927990703225,0.5858961624792497
S_orbital_lateral,Left,0.050072321167458314,0.47706967132933314,0.5748522264506528,0.5247799052831945,0.42699735016187484
G_precentral,Right,0.38747242525082237,1.1603148199439395,0.8251459933922819,0.4376735681414595,0.7728423946931171
S_suborbital,Left,-1.143547362,-0.761781418,0.035453634,1.179000996769012,0.3817659447753293
G_rectus,Right,1.6923161490569725,2.612718702141991,2.306036725620003,0.6137205765630305,0.9204025530850184
G_and_S_frontomargin,Left,-1.038299086,-0.666748518,0.3824727857715414,1.4207718719220157,0.3715505676853884
G_oc-temp_med-Lingual,Left,0.8411675883583697,1.5654233741989756,1.7906116331635953,0.9494440448052256,0.7242557858406059
G_and_S_cingul-Ant,Left,-0.759840683,-0.231072735,0.5715349464000371,1.3313756293311205,0.5287679482047484
S_orbital-H_Shaped,Right,-0.682186125,-0.438301665,0.316201007,0.9983871320045216,0.2438844593953164
G_and_S_paracentral,Right,0.728362871,1.4513783785342078,1.1039423214532604,0.37557945064412346,0.7230155077250708
S_temporal_transverse,Left,-0.701879364,-0.336402313,0.5475214764414279,1.249400840902281,0.3654770509727762
G_occipital_middle,Left,0.627925585,1.1957166191076058,1.574935660968597,0.9470100763098369,0.5677910344488458
G_cuneus,Left,2.229412939885555,3.152253626782892,2.642834587098646,0.4134216472130907,0.9228406868973367
G_oc-temp_lat-fusifor,Left,-0.442722755,-0.058710351,0.8115248401216619,1.2542475955730217,0.3840124048995191
S_oc_sup_and_transversal,Left,0.9643737419274481,1.5920941537882374,1.7720005544712152,0.8076268125437671,0.6277204118607893
G_and_S_occipital_inf,Right,-0.937843933,-0.618860144,0.38699402177330755,1.324837954901077,0.3189837895321308
G_and_S_cingul-Mid-Post,Right,0.015688300496069195,0.6603866096413642,0.6893583375729021,0.6736700370768329,0.644698309
G_temp_sup-Lateral,Right,-0.664342948,-0.218811465,0.8838259169773905,1.548168865034469,0.44553148279870186
S_precentral-inf-part,Left,-0.601540558,-0.1483659,0.5637515512888538,1.1652921088948704,0.4531746575846245
G_orbital,Right,-0.75404607,-0.301744223,0.3643847697977473,1.1184308397623623,0.45230184723428785
Pole_temporal,Left,-2.110491623,-1.557775118,0.30455624,2.415047862,0.5527165047106277
