,region,hemisphere,CN,MCI,AD,AD-CN,feature
0,S_oc_middle_and_Lunatus,Right,4.56659221245165,4.66577128678486,4.05706268747982,-0.509529524971833,area
1,S_temporal_transverse,Right,6.04680539865909,6.0989054912059,5.609612918059,-0.437192480600093,area
2,S_front_sup,Right,2.91828016580372,2.9042047324505,2.68980312243254,-0.228477043371182,area
3,S_subparietal,Right,3.77244120355577,3.8528606592754,3.23997600848213,-0.532465195073649,area
4,G_temp_sup-Plan_polar,Right,4.70986431900769,4.52173666590898,4.37340615250725,-0.33645816650044,area
5,G_and_S_transv_frontopol,Left,3.48035116895356,3.85786464243871,2.5831250130587,-0.897226155894869,area
6,G_rectus,Right,6.30705551566278,6.52629347368154,5.58146996383938,-0.725585551823392,area
7,S_orbital_lateral,Left,2.75851668027441,3.57074992297653,2.16890458530459,-0.589612094969827,area
8,G_cingul-Post-dorsal,Left,4.93724892771789,5.10336670544242,4.03921775422941,-0.898031173488477,area
9,G_and_S_cingul-Mid-Ant,Left,3.42009414882332,3.5509380574994,3.20168714675146,-0.218407002071861,area
10,G_front_inf-Orbital,Right,3.561536941595,3.76630321773846,3.28220452863607,-0.279332412958921,area
11,G_temporal_inf,Left,4.85526884055637,4.93595022470582,4.20439042667334,-0.650878413883036,area
12,Pole_occipital,Right,3.13725474146095,3.41932589697073,2.64220673840425,-0.495048003056707,area
13,S_central,Right,4.02719496918018,4.42968740209014,3.18798964884259,-0.839205320337585,area
14,G_temp_sup-G_T_transv,Left,5.015454320392,5.29511899380185,4.21352022940574,-0.801934090986268,area
15,S_orbital_med-olfact,Right,3.06486555889309,3.12855061723774,2.82344075508341,-0.24142480380968,area
16,G_oc-temp_med-Lingual,Left,5.26453557076115,5.53574199665075,4.32464471880685,-0.939890851954305,area
17,S_oc_sup_and_transversal,Right,3.46228688858543,3.53494325715308,3.10583898872294,-0.35644789986249,area
18,S_calcarine,Right,3.73423639598412,3.82931000766354,3.11979849249458,-0.614437903489541,area
19,S_front_middle,Right,4.13816744634598,4.36219045013633,3.57763090783852,-0.560536538507458,area
20,S_parieto_occipital,Left,5.20852358740371,5.46985656021364,4.4610287914016,-0.7474947960021,area
21,G_and_S_cingul-Mid-Post,Right,3.29191113421679,3.33638652990132,2.98763219107995,-0.304278943136842,area
22,G_front_inf-Opercular,Left,3.47476622179469,3.6514922183177,2.90149694556671,-0.573269276227975,area
23,S_front_inf,Left,3.70955828873303,3.91691866790837,3.10565222283081,-0.603906065902223,area
24,G_occipital_middle,Left,5.54162821192162,5.89435512211488,4.45272075949815,-1.08890745242347,area
25,G_and_S_subcentral,Right,4.21211689122792,4.38590163359974,3.78620306843168,-0.425913822796239,area
26,G_subcallosal,Left,4.10312709509969,4.06577352763423,3.72222115263532,-0.38090594246437,area
27,Lat_Fis-post,Right,3.45825031899329,3.60237805779177,3.17034740464888,-0.287902914344414,area
