,network,CN,MCI,AD,AD-CN,feature
0,dmn,4.08606061981521,4.21170441370381,3.5569754996733,-0.529085120141908,area
1,dorsal_attn,3.84470288148612,3.99569510610812,3.28966471614507,-0.555038165341049,area
2,fpn,4.01885629904097,4.26902951469902,3.43182325443817,-0.587033044602797,area
3,limbic,4.64250142871182,4.66897462099158,4.14540472085555,-0.497096707856263,area
4,somatomotor,3.52842833182224,3.76970351360577,2.98760119365361,-0.540827138168629,area
5,ven_attn,3.8859482177916,4.00096462413248,3.46307359636929,-0.422874621422309,area
6,visual,4.38900065001231,4.58153469349459,3.73658657724202,-0.652414072770288,area
7,dmn,-1.61765729720258,-2.14953375473844,-0.0843376843794701,1.53331961282311,curvature
8,dorsal_attn,-1.12370454167666,-1.60633171498226,0.0653833597984062,1.18908790147507,curvature
9,fpn,-1.29743376088558,-1.74780807734678,-0.0849388148300047,1.21249494605557,curvature
10,limbic,-1.99081611547937,-2.40318597054655,-0.27833995198337,1.712476163496,curvature
11,somatomotor,-0.972002035594915,-1.27757623626667,-0.0328216766983341,0.939180358896581,curvature
12,ven_attn,-1.06339765333542,-1.48448198440057,0.148507580999474,1.2119052343349,curvature
13,visual,-1.63425849674116,-1.97029818880667,-0.377171274456431,1.25708722228473,curvature
14,dmn,-0.0817293103985135,0.0867646214682391,-0.218650771742022,-0.136921461343509,sulcal_depth
15,dorsal_attn,-0.17473675657259,0.0552367925960063,-0.325401031538056,-0.150664274965466,sulcal_depth
16,fpn,-0.174074280309759,0.0279223983049856,-0.324509098162871,-0.150434817853112,sulcal_depth
17,limbic,0.170686730640552,0.31690768101153,0.0863446362219736,-0.0843420944185788,sulcal_depth
18,somatomotor,-0.273092056877779,-0.0405765033817387,-0.39479877626949,-0.121706719391712,sulcal_depth
19,ven_attn,-0.233752306816674,-0.0202192345104804,-0.405132319338762,-0.171380012522088,sulcal_depth
20,visual,0.0348308947886246,0.241621883720527,-0.0573172518292617,-0.0921481466178863,sulcal_depth
21,dmn,3.53335806427705,3.33479235854088,4.07593993052515,0.542581866248096,thickness
22,dorsal_attn,4.01157444353916,3.86585196215075,4.36809024381138,0.356515800272219,thickness
23,fpn,4.12759123752135,3.9941809492811,4.38983379006344,0.262242552542085,thickness
24,limbic,2.60433708093659,2.37859361037594,3.50082551983051,0.896488438893919,thickness
25,somatomotor,3.52703858785832,3.37835111002316,3.90765509948332,0.380616511624994,thickness
26,ven_attn,3.74658898676056,3.63318934946096,4.04443751411834,0.297848527357774,thickness
27,visual,4.11856823851714,3.88646489410678,4.67798010149842,0.559411862981282,thickness
28,dmn,1.4099869618306,0.97162023124465,2.72579842458463,1.31581146275403,WM-GM_ratio
29,dorsal_attn,2.17350488534212,1.81618292117279,3.26911943871529,1.09561455337317,WM-GM_ratio
30,fpn,2.03037178028626,1.6508772513691,3.15352849809767,1.12315671781141,WM-GM_ratio
31,limbic,0.500224798671194,0.165666510377945,2.01582722521327,1.51560242654207,WM-GM_ratio
32,somatomotor,2.01941686042438,1.65595741614074,3.18836763915042,1.16895077872604,WM-GM_ratio
33,ven_attn,2.14943461146235,1.81219861856883,3.22340521635457,1.07397060489222,WM-GM_ratio
34,visual,2.05366333891957,1.59628712119346,3.3222094012085,1.26854606228893,WM-GM_ratio
