cohort,test,location,coef,raw_pval,r_squared,ci_low,ci_high,adj_pval,is_inverted,test_display
CN,MoCA,Inferior Temporal Gyrus,0.1558705400841216,0.4467525466422859,0.9065079878169012,-0.24728296473482675,0.5590240449030699,0.4467525466422859,False,MoCA
CN,MoCA,Postcentral Gyrus,0.2668873954562372,0.11650287718886931,0.9157392849068219,-0.06693936208624629,0.6007141529987207,0.15533716958515909,False,MoCA
AD,MoCA,Postcentral Gyrus,0.7037594444265827,0.00048396791171579197,0.9594018224825241,0.3230930284274539,1.0844258604257115,0.0009679358234315839,False,MoCA
AD,MoCA,Inferior Temporal Gyrus,1.410519383700599,2.6799665527255044e-06,0.9260880696803617,0.868686948211423,1.9523518191897749,1.0719866210902018e-05,False,MoCA
CN,ADAS11,Postcentral Gyrus,0.17368420400342247,0.22500956290840746,0.852317164470172,-0.10740960271817843,0.45477801072502333,0.22500956290840746,True,-1 x ADAS11
AD,ADAS11,Postcentral Gyrus,0.6953428960898833,0.0008411119922740723,0.8586689940434534,0.2916548252594945,1.0990309669202722,0.0016822239845481447,True,-1 x ADAS11
AD,ADAS11,Inferior Temporal Gyrus,1.2501556316477078,6.8445704528340405e-09,0.864994692219099,0.8461027814566857,1.65420848183873,2.7378281811336162e-08,True,-1 x ADAS11
CN,ADAS11,Inferior Temporal Gyrus,0.24381333564749524,0.1190125000773835,0.8629309330201957,-0.06306392882818118,0.5506906001231717,0.15868333343651134,True,-1 x ADAS11
CN,RAVLT Immediate Recall,Inferior Temporal Gyrus,0.13099630240445093,0.4208167745775213,0.862840107917409,-0.1887547640084577,0.45074736881735955,0.4208167745775213,False,RAVLT Immediate Recall
CN,RAVLT Immediate Recall,Postcentral Gyrus,0.14291864378169006,0.337200214258525,0.8525506193933257,-0.1496348476073618,0.4354721351707419,0.4208167745775213,False,RAVLT Immediate Recall
AD,RAVLT Immediate Recall,Inferior Temporal Gyrus,1.2347549842134018,6.440096545467494e-08,0.860417105224535,0.8046293439421299,1.6648806244846737,2.5760386181869976e-07,False,RAVLT Immediate Recall
AD,RAVLT Immediate Recall,Postcentral Gyrus,0.8663439724177244,7.471126998332927e-05,0.8598363247603003,0.4455010863657208,1.2871868584697281,0.00014942253996665854,False,RAVLT Immediate Recall
AD,MMSE,Inferior Temporal Gyrus,1.1896697034044394,2.031812217438765e-08,0.8615937581528269,0.7909491546798939,1.588390252128985,8.12724886975506e-08,False,MMSE
CN,MMSE,Postcentral Gyrus,0.07782422483901566,0.5721804110950962,0.8526297577419032,-0.1929730723077622,0.34862152198579355,0.6799179239735433,False,MMSE
CN,MMSE,Inferior Temporal Gyrus,-0.06221067388744308,0.6799179239735433,0.8626180719345875,-0.35860531254018213,0.234183964765296,0.6799179239735433,False,MMSE
AD,MMSE,Postcentral Gyrus,0.711930546297239,0.00048773982727705226,0.8580379060628491,0.3167615375755434,1.1070995550189346,0.0009754796545541045,False,MMSE
CN,FAQ,Postcentral Gyrus,0.1208263381073428,0.369750113748604,0.8532149479835064,-0.1438397900533586,0.38549246626804423,0.369750113748604,True,-1 x FAQ
AD,FAQ,Inferior Temporal Gyrus,1.0135375581621138,4.3255142536108525e-06,0.8540874747084366,0.5922954131560925,1.434779703168135,1.730205701444341e-05,True,-1 x FAQ
AD,FAQ,Postcentral Gyrus,0.7419954327066998,0.0003704437266502482,0.8599624821084307,0.3388813952441024,1.1451094701692972,0.0007408874533004964,True,-1 x FAQ
CN,FAQ,Inferior Temporal Gyrus,0.1838879211355376,0.21149549021428923,0.8635817235863109,-0.10509240141392012,0.4728682436849953,0.28199398695238564,True,-1 x FAQ
CN,CDRSB,Inferior Temporal Gyrus,0.16566623795545363,0.26023119073630213,0.8634004497381905,-0.12333631552774896,0.45466879143865624,0.27171682332063574,True,-1 x CDRSB
CN,CDRSB,Postcentral Gyrus,0.148513721044031,0.27171682332063574,0.8522420709699566,-0.11687925110094183,0.4139066931890038,0.27171682332063574,True,-1 x CDRSB
AD,CDRSB,Inferior Temporal Gyrus,1.0044407255076269,2.8063622010176424e-06,0.8549019642711746,0.5953950325909831,1.4134864184242706,1.122544880407057e-05,True,-1 x CDRSB
AD,CDRSB,Postcentral Gyrus,0.7486044159055991,0.00021872582221488,0.8609591400393327,0.3574160333822437,1.1397927984289544,0.00043745164442976,True,-1 x CDRSB
CN,DSST,Postcentral Gyrus,0.24260141725348994,0.41305394577932786,0.6355577517505981,-0.34261697796181245,0.8278198124687923,0.5507385943724371,False,DSST
CN,DSST,Inferior Temporal Gyrus,0.15896194065546662,0.5830665865813303,0.7047677700463462,-0.41333774823413294,0.7312616295450662,0.5830665865813303,False,DSST
AD,DSST,Inferior Temporal Gyrus,0.9571467479609987,0.005687371346164276,0.831433472544421,0.28606858774552824,1.6282249081764693,0.022749485384657105,False,DSST
AD,DSST,Postcentral Gyrus,0.4475805317668833,0.19842791197887183,0.819986536238306,-0.2387899869197342,1.1339510504535006,0.39685582395774366,False,DSST
CN,RAVLT Forgetting %,Inferior Temporal Gyrus,0.14869760859094605,0.3158501062311258,0.8629961588937247,-0.14252248759165864,0.43991770477355074,0.4211334749748344,False,RAVLT Forgetting %
AD,RAVLT Forgetting %,Inferior Temporal Gyrus,0.6569075932702922,0.004913375686719144,0.8457389092592753,0.20227332182816166,1.111541864712423,0.019653502746876578,False,RAVLT Forgetting %
AD,RAVLT Forgetting %,Postcentral Gyrus,0.47043433440085647,0.03477408016677171,0.8509323089146263,0.03410459280391809,0.9067640759977948,0.06954816033354343,False,RAVLT Forgetting %
CN,RAVLT Forgetting %,Postcentral Gyrus,0.1026302124947609,0.4496196706307689,0.8523866997173486,-0.16411896518333863,0.3693793901728604,0.4496196706307689,False,RAVLT Forgetting %
CN,RAVLT Learning,Postcentral Gyrus,0.03143669275015659,0.8156561828015574,0.8521437206657114,-0.23364816716653392,0.2965215526668471,0.8156561828015574,False,RAVLT Learning
CN,RAVLT Learning,Inferior Temporal Gyrus,0.09701977163388742,0.5100328775568812,0.86274673193497,-0.19240853885712267,0.3864480821248975,0.6800438367425082,False,RAVLT Learning
AD,RAVLT Learning,Inferior Temporal Gyrus,0.5080356668412018,0.024931392781233856,0.8378567708824477,0.06481965264044875,0.9512516810419549,0.04986278556246771,False,RAVLT Learning
AD,RAVLT Learning,Postcentral Gyrus,0.568221934974617,0.007316315787372075,0.8522675097835912,0.15514869186272262,0.9812951780865115,0.0292652631494883,False,RAVLT Learning
AD,Logical Mem. Delayed Recall,Inferior Temporal Gyrus,0.42191293513026196,0.07708058568224335,0.8630509841177126,-0.046551247358130265,0.8903771176186541,0.3083223427289734,False,Logical Mem. Delayed Recall
CN,Logical Mem. Delayed Recall,Inferior Temporal Gyrus,0.08376359747424739,0.6300423648068347,0.8547379672154798,-0.2582424524533749,0.4257696474018697,0.7306968068015077,False,Logical Mem. Delayed Recall
CN,Logical Mem. Delayed Recall,Postcentral Gyrus,0.12029812278708324,0.456959793687854,0.841875748025688,-0.19765308237105944,0.4382493279452259,0.7306968068015077,False,Logical Mem. Delayed Recall
AD,Logical Mem. Delayed Recall,Postcentral Gyrus,0.06592569390702518,0.7306968068015077,0.9003801279718284,-0.3124399007987817,0.44429128861283207,0.7306968068015077,False,Logical Mem. Delayed Recall
AD,Everyday Cog. Self-Eval,Inferior Temporal Gyrus,0.3860008611264411,0.17193861509908806,0.9043621550703363,-0.17273618410137598,0.9447379063542583,0.3438772301981761,False,Everyday Cog. Self-Eval
AD,Everyday Cog. Self-Eval,Postcentral Gyrus,0.19491733981274517,0.2975205371274381,0.9525879730065323,-0.17632309260150536,0.5661577722269957,0.39669404950325077,False,Everyday Cog. Self-Eval
CN,Everyday Cog. Self-Eval,Inferior Temporal Gyrus,0.26935167425842443,0.11590936174282175,0.906972644681989,-0.06700946315827494,0.6057128116751238,0.3438772301981761,False,Everyday Cog. Self-Eval
CN,Everyday Cog. Self-Eval,Postcentral Gyrus,0.09780235058568373,0.49416559923673153,0.9144011530072933,-0.18374618292521674,0.37935088409658424,0.49416559923673153,False,Everyday Cog. Self-Eval
AD,Everyday Cog. Partner-Eval,Inferior Temporal Gyrus,0.30385542586488956,0.2864872791583906,0.8940932396670223,-0.26063163261290945,0.8683424843426886,0.7271524941905033,False,Everyday Cog. Partner-Eval
CN,Everyday Cog. Partner-Eval,Inferior Temporal Gyrus,0.133671392036817,0.44426284609198863,0.9031329032203868,-0.2102400206576187,0.4775828047312527,0.7271524941905033,False,Everyday Cog. Partner-Eval
CN,Everyday Cog. Partner-Eval,Postcentral Gyrus,-0.0032152135507912266,0.9824496303046748,0.9109155962567093,-0.29111045673743136,0.2846800296358489,0.9824496303046748,False,Everyday Cog. Partner-Eval
AD,Everyday Cog. Partner-Eval,Postcentral Gyrus,0.10955341615167313,0.5453643706428775,0.9522206034963036,-0.2502093418911564,0.46931617419450267,0.7271524941905033,False,Everyday Cog. Partner-Eval
CN,TMT-B,Inferior Temporal Gyrus,0.1435644953623066,0.3737899283387277,0.863351782751501,-0.17358993342343404,0.4607189241480472,0.6897219615133435,False,TMT-B
CN,TMT-B,Postcentral Gyrus,0.09586854144779455,0.5172914711350076,0.8527188139147787,-0.1951150183794158,0.3868521012750049,0.6897219615133435,False,TMT-B
AD,TMT-B,Postcentral Gyrus,0.0615248954782658,0.8392495958993116,0.8379573190043543,-0.5404783214304504,0.663528112386982,0.8392495958993116,False,TMT-B
AD,TMT-B,Inferior Temporal Gyrus,0.2984041053323094,0.35025653840829185,0.8511253870723448,-0.33393506796292444,0.9307432786275431,0.6897219615133435,False,TMT-B
