,region,hemisphere,F (CN),M (CN),F-M (CN)
0,G_front_inf-Triangul,Right,0.8850194947181008,1.4442421869850677,-0.5592226922669669
1,G_front_inf-Opercular,Left,0.4563478663905319,1.2559114330800267,-0.7995635666894949
2,S_parieto_occipital,Left,0.3319109179578812,0.9357764358502623,-0.6038655178923811
3,G_and_S_occipital_inf,Right,-1.1308502593355,-0.6137173538743422,-0.5171329054611579
4,G_temp_sup-Lateral,Right,-0.9960734287789175,-0.24856888550920608,-0.7475045432697114
5,G_and_S_transv_frontopol,Left,-0.6026268020397157,0.0480021855191395,-0.6506289875588552
6,G_oc-temp_med-Lingual,Right,-1.1262974931247796,-0.43187313433782576,-0.6944243587869539
7,G_orbital,Right,-1.1322659285472254,-0.32274257846911564,-0.8095233500781098
8,S_front_inf,Left,0.18322683792714564,0.8996535747323217,-0.716426736805176
9,S_pericallosal,Left,0.2881806790379989,0.9176074636152105,-0.6294267845772117
10,G_subcallosal,Left,-2.216670857757469,-1.5823481861001147,-0.6343226716573545
11,G_temporal_inf,Left,-1.3440683414871606,-1.1006618795419492,-0.24340646194521143
12,S_subparietal,Right,0.04503523966066488,0.7791616600527362,-0.7341264203920713
13,S_orbital_lateral,Right,0.36059665834301596,1.1440779123119904,-0.7834812539689744
14,G_insular_short,Right,-1.3162351154296466,-0.5761907337254665,-0.7400443817041801
15,S_intrapariet_and_P_trans,Right,0.2998046212859101,1.0719077032504365,-0.7721030819645264
16,S_front_middle,Right,0.9793245039439415,1.5900642887642829,-0.6107397848203413
17,S_oc-temp_med_and_Lingual,Right,-2.1637231761855333,-1.4463623533734669,-0.7173608228120665
18,S_orbital-H_Shaped,Left,-1.555678637882873,-0.8243774276501805,-0.7313012102326926
19,S_oc-temp_lat,Left,0.08444490333066174,0.4709867158616658,-0.38654181253100406
20,Pole_occipital,Right,-1.0484063189740378,-0.444713508180221,-0.6036928107938169
